Question ? ,Answer,"
"
Je peux tourner sans bouger. Que suis-je ?,Le lait,"http://villemin.gerard.free.fr/Puzzle/EnigClas.htm#condamsol"
J'ai deux jambes et ne marche pas. Que suis-je ?,Le pantalon,"https://www.enigme-facile.fr/enigme-logique"
Je réfléchis sans réfléchir. Que suis-je ?,Le miroir,https://enigmatik.epikurieu.com/enigmes/devinettes/6/tag.fhtm
"Je commence par un e, je termine par un e, pourtant je ne contiens qu'une lettre, et je ne suis pas la lettre e. Que suis-je ?",Le mot enveloppe,
Qu’est-ce qui t’appartient mais que les gens utilisent beaucoup plus que toi ?,"Ton prénom : pour t’appeler ou parler de toi, les autres prononcent ton prénom alors que toi, beaucoup moins évidemment",
"J'ai 2 pieds, 6 jambes, 8 bras, 2 têtes et un œil. Qui suis-je ? ",Un menteur,
Je ne respire jamais mais j'ai beaucoup de souffle. Qui suis-je ? ,L’aspirateur,
Qu'est ce qui s'allonge et rétrécit en même temps ?,"La vie : plus on avance dans le temps, plus on s'approche de la mort.",
Je parle toutes les langues et j'ai tout le temps la tête à l'envers. Qui suis-je ?,Un stylo.,
"Je suis un homme, je suis une femme. Je ne suis ni un homme ni une femme. Qui suis-je ?",Une ombre : la première fois c'est le verbe suivre et la deuxième fois c'est le verbe être.,
"Je suis noir, je deviens rouge, et je finis blanc... Qui suis-je ?",Le charbon,
Plus j'ai de gardiens moins je suis gardé. Moins j'ai de gardiens plus je suis gardé. Qui suis-je ?,Un secret,
"J'ai une gorge mais je ne peux pas parler, je coule mais ne me noie pas, j'ai un lit mais je ne dors jamais. Qui suis-je ? ",Une rivière,
"Quand je suis blanc, je suis sale et quand je suis noir, je suis propre. Qui suis-je ?",Le tableau,
Je suis immobile pendant la vie et je me promène durant ma mort. Qui suis-je ?,Une feuille d’arbre,
J'ai quelque chose dans ma poche mais ma poche est vide. Qu'est-ce que c'est ?,Un trou,
Je me vide en me remplissant. Qui suis-je ? ,Le sablier,
Quand je suis frais je suis chaud. Qui suis-je ?,Le pain,
Qu'est-ce qui fait le tour du bois sans jamais y pénétrer ?,L’écorce,
J'ai une serrure mais pas de porte. Qui suis-je ?,Un cadenas,
"On me trouve 2 fois dans l'année, 1 fois dans la semaine, mais pas du tout dans le jour... Qui suis-je ?",La lettre N,
"On me prend sans me toucher, qui suis-je ?",Une photo,
On me trouve 3 fois dans l'année et pourtant 1 fois par semaine. Qui suis-je ?,La lettre N,
Mon premier est un animal ; Mon deuxième est un animal ; Mon troisième est un animal ; Mon quatrième est un animal ; Mon tout est un animal. Qui suis-je ?,Un serpent python (cerf-paon-pie-thon),
"Sans même regarder, je vois aussi clair dans l'obscurité que le jour. Qui suis-je ?",Une chauve-souris,
"Je tombe sans me faire mal, qui suis-je ?",La nuit,
Mon premier est une boisson ; Mon deuxième est une boisson ; Mon troisième est une boisson ; Mon tout est une boisson. Qui suis-je ?,Un café au lait (café eau lait),
Qu'est ce qui est devant nous mais que nous ne voyons jamais ?,L’avenir,
Je mets mes dents entre tes dents. Qui suis-je ?,La fourchette,
Quand je suis découvert je n'existe plus. Qui suis-je ? ,"Le secret. Quand le secret d'une personne est découvert, ce n'est plus un secret.",
"Qu'est ce qui le matin marche à quatre pattes, le midi à deux et le soir à trois ?",L’homme : Le matin c'est le bébé à quatre pattes. Le midi c'est l'homme sur ses deux jambes. Le soir c'est la personne âgée avec sa canne.,
Je rentre toujours la première et sors toujours la dernière. Qui suis-je ?,La clef,
"Je suis partout, mais on ne peut jamais m'atteindre. Qui suis-je ?",L’horizon,
"J'ai 6 clés sans serrures, dès qu'on me gratte je murmure. Qui suis-je ?",Une guitare parce qu'une guitare a six clés sans serrures qui permettent d'accorder les 6 cordes,
Je suis toujours à l'abri mais pourtant je suis toujours mouillée. Qui suis-je ?,La langue,
Qu'est ce qui peut traverser une vitre sans jamais la briser,Les rayons du soleil,
Il suffit d'un oui ou d'un non pour qu'elles se séparent... Qui sont-elles ?,Les lèvres,
"Dans une famille, le père est en prison, la fille pleure devant l'hôtel et la mère est contente, elle sourit. Que se passe-t-il dans cette famille ?",Ils jouent au Monopoly,
"Lorsque que l'on naît, il existe déjà, et lorsque que l'on meurt, il est toujours là. Qui suis-je ?",Le temps,
"Plus on tire dessus, plus elle rétrécit. Qui est-ce ?",La cigarette,
"Je commence par un ""P"" et je finis par un ""e"", je peux voler plus vite qu'un avion et ne jamais dormir. Qui suis-je ?",Personne,
Plus on le regarde et moins on le voit. De quoi s'agit-il ?,Le soleil,
"Avant de l'avoir, on ne la veut pas, mais quand on l'a, on ne veut pas la perdre. Qui est-ce ?",La guerre,
En me levant je ne fais pas de bruit mais je réveille tout le monde. Qui suis-je ?,Le soleil,
Je nais et meurs dans l'eau. Qui suis-je ?,Le sel,
"Je suis vêtue de poils. Je suis doté d'une chair. Je sais produire du lait. Pourtant, je ne suis pas un animal. Qui suis-je ?",Une noix de coco,
Dès que l'on prononce mon nom je me brise... Qui suis-je ?,Le silence,
"J'existe quand vous ne savez pas qui je suis, mais je ne suis plus rien quand vous le découvrez. Qui suis je ?",Une énigme,
Plus il y en a et moins cela pèse. Qui suis-je ?,Le vide,
Même quand elle passe du noir au rouge elle reste bleue. Qui est-elle ?,"La mer : la mer noire, la mer rouge sont leurs noms. L'eau, elle, reste bleue.",
Quand on me tourne je pleure. Qui suis-je ?,Un robinet,
Il suffit d'un mot pour qu'elles se séparent. Qu'est-ce ?,Les lèvres,
"Je donne des coups à tout le monde, mais je suis toujours le bienvenu et je ne peux pas passer inaperçu dans le monde. Qui suis-je ? ",Le soleil,
"Quand mes deux parties s'assemblent, je sépare. Qui suis-je ?",Une paire de ciseaux ,
"Sans couvercle, serrure ou charnière je renferme pourtant un trésor doré... Qui suis-je ? ",Un oeuf,
Qu'est ce qui est au millieu de Paris ?,La lettre R,
Quel est le message caché dans le calcul : 101*5 ?,Le message est SOS car 101*5 = 505,
Qu'est-ce qui a 6 pattes et qui marche sur la tête ?,Un pou,
"Je suis une nourriture toujours chaude, même un long moment au réfrigérateur ne peut me rendre froide. Qui suis je ?",Un piment,
Combien y a t-il de lettres dans l'alphabet ?,Il y a 8 lettres dans le mots ALPHABET.,
"Je suis debout il est couché, je suis couché il est debout. Qui est-il ?",Le pied,
"Nous sommes soeurs, aussi fragiles que les ailes du papillon, mais nous pouvons faire disparaitre le monde. Qui sommes nous ?",Les paupières,
"Je peux voler mais je n'ai pas d'ailes, je peux vous pousser mais je n'ai pas de mains et je suis invisible. Qui suis-je ?",Le vent,
"Parfois je suis fort, parfois je suis faible. Je connais toutes les langues sans jamais les avoir apprises. Qui suis-je ? ",L'écho,
J'ai 5 doigts mais je n'ai pas d'os. Qui suis-je ? ,Un gant,
"Bonne ou mauvaise, d'or ou de charbon, on m'utilise aussi à l'école. Qui suis-je ? ",Une mine,
"Si vous m'approchez de trop près, je vous tue, mais sans moi vous ne pourriez vivre. Qui suis-je ?",Le soleil,
Qu'est-ce qui peut être une couleur ou une douleur ?,Le bleu,
Vous êtes dedans mais vous ne l'êtes pas réellement. Qu'est-ce ? ,Le miroir,
"Je suis le blé, le sel et la terre. Je peux compter le temps, sombrer dans la folie ou tomber en poussière. Qui suis-je ?",Un grain,
"Deux canards se trouvent devant un canard, deux canards se trouvent derrière un canard et un canard est au milieu. Combien y a-t-il de canards en tout ?",3 canards,
J'habite un palais. Je peux porter une couronne mais pourtant je ne suis ni une reine ni un roi. Qui suis-je ?,Une couronne,
"ôtez moi une lettre, ôtez m'en deux, ôtez les moi toutes, je reste toujours le même ! Qui suis-je ? ",Un facteur,
"J'ai un manteau, une seule manche, et plusieurs cols. Qui suis-je ?",La Terre,
"Ils sont près l'un de l'autre, mais ne se voient pas. Qui sont-ils ?",Les yeux,
